Order_ID,Customer_ID,Customer_Name,Store,City,State,Product,Category,Quantity,Unit_Price,Total_Sales,Payment_Method,Order_Status,Device_Type,Order_Date,Delivery_Date
500021,29,Customer_65,Store_D,Pune,Delhi,Keyboard,Accessories,2,1184,2368.0,credit card,Cancelled,mobile,2023-02-13,2023-02-22
500022,266,Customer_573,Store_B,Kolkata ,Karnataka,Speaker,Accessories,5,2008,10040.0,Cash,delivered,Tablet,2024-06-03,2024-06-12
500023,126,Customer_159,Store_C,Mumbai,Maharashtra,Phone,Electronics,6,1035,6210.0,Cash,Returned,Mobile,2024-03-14,
500024,414,Customer_348,Store_D,Delhi,Karnataka,Camera,Electronics,4,716,2864.0,credit card,Cancelled,Mobile,2023-08-18,2023-08-25
500025,639,Customer_303,Store_E,Bangalore ,Delhi,Tablet,Electronics,5,1928,9640.0,Credit Card,Delivered,Tablet,2024-03-27,2024-04-03
500026,693,Customer_265,Store_D,Mumbai,West Bengal,Monitor,Electronics,1,793,793.0,credit card,Cancelled,Mobile,2023-10-04,2023-10-11
500027,650,Customer_91,Store_C,Bangalore,Delhi,Monitor,Electronics,1,800,800.0,Credit Card,Cancelled,Mobile,2024-03-11,2024-03-16
500028,45,Customer_540,Store_B,Bangalore,Tamil Nadu,Smartwatch,Wearables,1,1439,1439.0,Credit Card,Returned,Desktop,2024-07-20,2024-07-25
500029,689,Customer_183,Store_C,Pune,Tamil Nadu,Monitor,Electronics,6,1299,7794.0,Credit Card,Delivered,Mobile,2024-06-27,2024-07-02
500030,666,Customer_443,Store_D,Ahmedabad,Tamil Nadu,Speaker,Accessories,5,826,4130.0,credit card,Returned,Desktop,2024-06-10,2024-06-18
500031,15,Customer_73,Store_C,Ahmedabad ,Karnataka,Tablet,Electronics,2,622,1244.0,credit card,delivered,Tablet,2024-02-19,2024-02-20
500032,4,Customer_270,Store_C,Pune,Maharashtra,Mouse,Accessories,2,1250,2500.0,Debit Card,Delivered,Tablet,2023-02-16,2023-02-19
500033,515,Customer_672,Store_B,Delhi,Telangana,Keyboard,Accessories,3,799,2397.0,Credit Card,Cancelled,Mobile,2023-01-02,2023-01-04
500034,239,Customer_87,Store_E,Mumbai,Gujarat,Headphones,Accessories,4,2453,9812.0,upi,Cancelled,mobile,2023-02-12,2023-02-17
500035,518,Customer_143,Store_E,Hyderabad,Delhi,Headphones,Accessories,3,642,1926.0,Credit Card,Delivered,Mobile,2023-02-14,2023-02-23
500036,643,Customer_20,Store_E,Delhi,Telangana,Headphones,Accessories,6,1527,9162.0,Cash,Delivered,Mobile,2023-04-18,2023-04-26
500037,211,Customer_237,Store_D,Kolkata,Karnataka,Speaker,Accessories,1,1990,1990.0,Cash,Cancelled,Mobile,2023-09-16,2023-09-21
500038,312,Customer_637,Store_E,Mumbai ,Telangana,Mouse,Accessories,6,862,5172.0,Cash,Cancelled,Mobile,2023-03-21,2023-03-27
500039,478,Customer_122,Store_E,Delhi,Karnataka,Keyboard,Accessories,6,2055,12330.0,Cash,Delivered,Tablet,2023-10-25,2023-10-30
500040,216,Customer_77,Store_E,Bangalore ,Tamil Nadu,Smartwatch,Wearables,1,2125,2125.0,UPI,Returned,Tablet,2024-04-05,2024-04-12
500041,163,Customer_4,Store_D,Kolkata,Maharashtra,Phone,Electronics,6,1545,9270.0,Cash,Cancelled,mobile,2023-08-25,2023-09-02
500042,123,Customer_201,Store_A,Chennai,Karnataka,Tablet,Electronics,1,1407,1407.0,Cash,delivered,Mobile,2023-01-02,2023-01-08
500043,293,Customer_651,Store_B,Delhi,Gujarat,Tablet,Electronics,4,1177,4708.0,COD,Cancelled,Desktop,2023-02-19,2023-02-20
500044,83,Customer_51,Store_D,Kolkata,Maharashtra,Tablet,Electronics,4,168,672.0,credit card,Cancelled,mobile,2024-10-08,2024-10-17
500045,262,Customer_669,Store_C,Ahmedabad,Tamil Nadu,Laptop,Electronics,5,571,2855.0,Cash,RETURNED,mobile,2023-06-24,2023-06-30
500046,464,Customer_341,Store_D,Ahmedabad ,Delhi,Phone,Electronics,2,712,1424.0,Debit Card,Delivered,Desktop,2023-03-18,2023-03-26
500047,207,Customer_21,Store_D,Ahmedabad,Delhi,Tablet,Electronics,5,423,2115.0,Cash,Cancelled,Tablet,2023-11-23,2023-11-28
500048,542,Customer_645,Store_B,Bangalore,Delhi,Laptop,Electronics,4,1186,4744.0,Cash,delivered,mobile,2024-08-11,2024-08-14
500049,485,Customer_602,Store_D,Hyderabad ,West Bengal,Camera,Electronics,3,139,417.0,Cash,Returned,Mobile,2023-05-11,
500050,663,Customer_469,Store_A,Hyderabad ,Maharashtra,Keyboard,Accessories,2,672,1344.0,Debit Card,RETURNED,Mobile,2024-06-18,2024-06-20
500051,308,Customer_538,Store_E,Delhi,Delhi,Monitor,Electronics,2,1081,2162.0,upi,RETURNED,Mobile,2024-06-24,2024-06-26
500052,249,Customer_487,Store_E,Delhi,Telangana,Laptop,Electronics,5,1285,6425.0,Cash,Cancelled,Mobile,2024-04-16,2024-04-22
500053,435,Customer_380,Store_B,Kolkata ,Maharashtra,Laptop,Electronics,2,2091,4182.0,credit card,delivered,Tablet,2024-03-06,
500054,508,Customer_206,Store_C,Delhi,Delhi,Camera,Electronics,2,77,154.0,UPI,Cancelled,Mobile,2023-10-27,2023-11-05
500055,150,Customer_403,Store_A,Delhi ,Maharashtra,Mouse,Accessories,4,817,3268.0,Cash,Delivered,Mobile,2023-08-17,2023-08-18
500056,338,Customer_196,Store_B,Kolkata ,Gujarat,Headphones,Accessories,4,1891,7564.0,upi,Cancelled,Tablet,2023-11-18,2023-11-20
500057,431,Customer_127,Store_E,Delhi,Tamil Nadu,Smartwatch,Wearables,2,496,992.0,upi,delivered,Mobile,2023-01-03,
500058,373,Customer_486,Store_A,Ahmedabad,Gujarat,Laptop,Electronics,6,1989,11934.0,Credit Card,delivered,Mobile,2023-07-20,2023-07-28
500059,348,Customer_372,Store_C,Pune,Telangana,Smartwatch,Wearables,1,303,303.0,UPI,Cancelled,Tablet,2023-09-21,2023-09-23
500060,240,Customer_110,Store_D,Kolkata,Gujarat,Monitor,Electronics,1,2489,,upi,Cancelled,mobile,2024-10-11,2024-10-13
500061,311,Customer_155,Store_E,Delhi,Maharashtra,Smartwatch,Wearables,2,2083,4166.0,Cash,Cancelled,Mobile,2023-07-07,
500062,494,Customer_566,Store_E,Pune ,Gujarat,Speaker,Accessories,2,1654,3308.0,Credit Card,Delivered,Tablet,2023-06-13,2023-06-15
500063,137,Customer_427,Store_D,Delhi,Karnataka,Mouse,Accessories,1,903,903.0,upi,Cancelled,Tablet,2023-04-09,2023-04-17
500064,254,Customer_191,Store_B,Delhi ,Delhi,Monitor,Electronics,5,1146,5730.0,UPI,Delivered,mobile,2024-01-17,2024-01-22
500065,38,Customer_105,Store_A,Kolkata,Delhi,Monitor,Electronics,2,2128,4256.0,upi,delivered,Tablet,2024-06-22,2024-06-24
500066,598,Customer_199,Store_A,Pune,Maharashtra,Laptop,Electronics,3,1003,3009.0,Cash,RETURNED,Tablet,2023-05-03,
500067,145,Customer_46,Store_B,Chennai ,Delhi,Laptop,Electronics,1,2491,2491.0,upi,Delivered,Tablet,2024-09-26,2024-09-27
500068,508,Customer_562,Store_D,Bangalore,Gujarat,Camera,Electronics,6,1572,9432.0,credit card,RETURNED,Desktop,2023-07-09,2023-07-11
500069,684,Customer_315,Store_D,Hyderabad,Maharashtra,Speaker,Accessories,1,720,720.0,Cash,delivered,Mobile,2024-02-12,2024-02-19
500070,445,Customer_161,Store_D,Bangalore,Gujarat,Tablet,Electronics,6,857,5142.0,COD,Cancelled,mobile,2024-02-05,2024-02-09
500071,638,Customer_380,Store_E,Mumbai ,Tamil Nadu,Headphones,Accessories,2,110,220.0,Debit Card,RETURNED,Desktop,2023-02-22,2023-03-01
500072,45,Customer_495,Store_C,Hyderabad,Gujarat,Phone,Electronics,1,1621,1621.0,Credit Card,RETURNED,Desktop,2024-05-17,2024-05-21
500073,224,Customer_43,Store_D,Mumbai,Karnataka,Keyboard,Accessories,5,1706,8530.0,Debit Card,Returned,Desktop,2024-09-21,2024-09-29
500074,643,Customer_314,Store_D,Chennai,Gujarat,Laptop,Electronics,5,206,1030.0,Cash,Cancelled,mobile,2023-11-28,2023-12-08
500075,477,Customer_241,Store_D,Kolkata,West Bengal,Speaker,Accessories,4,782,3128.0,Cash,Delivered,Mobile,2023-01-24,
500076,523,Customer_673,Store_A,Hyderabad,Karnataka,Headphones,Accessories,3,1813,5439.0,credit card,Cancelled,Mobile,2024-01-10,
500077,629,Customer_113,Store_B,Mumbai,West Bengal,Laptop,Electronics,5,1597,7985.0,UPI,Returned,Desktop,2023-05-20,
500078,468,Customer_148,Store_C,Kolkata,Tamil Nadu,Phone,Electronics,3,1083,3249.0,COD,RETURNED,Desktop,2023-06-12,2023-06-22
500079,285,Customer_696,Store_C,Ahmedabad ,Tamil Nadu,Tablet,Electronics,3,200,600.0,Credit Card,RETURNED,Mobile,2023-07-23,2023-07-26
500080,549,Customer_645,Store_D,Pune,Maharashtra,Tablet,Electronics,4,2324,9296.0,COD,Returned,Tablet,2024-06-17,2024-06-19
500081,529,Customer_260,Store_C,Pune,Telangana,Tablet,Electronics,1,1861,1861.0,Debit Card,Returned,Tablet,2023-08-24,2023-08-25
500082,233,Customer_628,Store_A,Hyderabad ,Maharashtra,Mouse,Accessories,6,1820,10920.0,UPI,Delivered,Tablet,2024-03-03,2024-03-04
500083,639,Customer_487,Store_B,Mumbai ,Delhi,Speaker,Accessories,2,1742,3484.0,credit card,Returned,mobile,2024-08-20,2024-08-23
500084,58,Customer_661,Store_E,Pune,West Bengal,Phone,Electronics,1,642,642.0,COD,RETURNED,mobile,2023-10-04,2023-10-09
500085,191,Customer_244,Store_B,Hyderabad,Karnataka,Keyboard,Accessories,2,51,,Credit Card,RETURNED,Desktop,2023-02-15,
500086,426,Customer_628,Store_B,Chennai ,Telangana,Headphones,Accessories,4,867,3468.0,credit card,delivered,Mobile,2024-06-14,2024-06-23
500087,108,Customer_268,Store_B,Hyderabad ,Tamil Nadu,Camera,Electronics,4,1955,7820.0,credit card,Delivered,Tablet,2023-03-24,2023-04-01
500088,223,Customer_88,Store_E,Hyderabad ,Delhi,Speaker,Accessories,6,1836,11016.0,upi,Returned,Desktop,2024-06-19,2024-06-24
500089,646,Customer_682,Store_E,Kolkata,Telangana,Tablet,Electronics,2,1642,3284.0,upi,Delivered,mobile,2023-12-03,2023-12-10
500090,176,Customer_149,Store_A,Hyderabad ,Maharashtra,Keyboard,Accessories,5,1310,6550.0,UPI,Returned,Mobile,2023-08-06,2023-08-16
500091,48,Customer_68,Store_E,Pune ,Karnataka,Laptop,Electronics,1,616,616.0,upi,delivered,Mobile,2024-10-11,
500092,650,Customer_90,Store_C,Kolkata ,Karnataka,Keyboard,Accessories,2,882,1764.0,upi,Returned,Tablet,2023-04-25,
500093,290,Customer_50,Store_C,Pune,West Bengal,Tablet,Electronics,3,1785,5355.0,upi,Cancelled,Mobile,2023-09-25,
500094,50,Customer_551,Store_E,Delhi,Karnataka,Camera,Electronics,1,1837,1837.0,COD,Cancelled,Desktop,2024-06-15,2024-06-21
500095,503,Customer_98,Store_D,Mumbai,Maharashtra,Camera,Electronics,1,2194,,upi,RETURNED,Tablet,2023-07-26,2023-07-27
500096,113,Customer_652,Store_A,Kolkata,Karnataka,Mouse,Accessories,2,1212,2424.0,credit card,Cancelled,Tablet,2023-08-08,2023-08-12
500097,311,Customer_270,Store_D,Mumbai,Delhi,Phone,Electronics,4,1666,6664.0,Cash,Returned,Mobile,2023-03-30,2023-03-31
500098,332,Customer_174,Store_D,Kolkata,Tamil Nadu,Tablet,Electronics,5,1388,6940.0,COD,Returned,Desktop,2024-06-18,2024-06-26
500099,633,Customer_159,Store_B,Delhi,Maharashtra,Tablet,Electronics,4,1024,4096.0,Debit Card,Returned,Tablet,2024-06-03,2024-06-08
500100,155,Customer_152,Store_C,Chennai,Delhi,Keyboard,Accessories,3,466,1398.0,Credit Card,Delivered,Tablet,2023-06-18,2023-06-20
500101,448,Customer_228,Store_E,Chennai,Maharashtra,Keyboard,Accessories,4,1950,7800.0,UPI,RETURNED,mobile,2023-02-04,
500102,432,Customer_235,Store_E,Delhi,Karnataka,Laptop,Electronics,6,1042,6252.0,Cash,delivered,Tablet,2024-03-16,2024-03-26
500103,645,Customer_161,Store_C,Ahmedabad,Telangana,Monitor,Electronics,6,450,2700.0,COD,delivered,Desktop,2024-03-05,2024-03-12
500104,557,Customer_224,Store_B,Delhi,Karnataka,Tablet,Electronics,1,1642,,upi,RETURNED,mobile,2024-05-16,2024-05-18
500105,379,Customer_535,Store_C,Ahmedabad,West Bengal,Speaker,Accessories,2,1998,3996.0,Debit Card,Returned,mobile,2024-06-08,
500106,14,Customer_77,Store_D,Ahmedabad,Maharashtra,Speaker,Accessories,1,1506,1506.0,COD,Cancelled,Mobile,2023-02-27,2023-03-06
500107,169,Customer_133,Store_A,Delhi,Delhi,Keyboard,Accessories,3,1690,5070.0,upi,Returned,Tablet,2024-06-23,2024-06-30
500108,236,Customer_274,Store_D,Chennai,Maharashtra,Camera,Electronics,4,1255,5020.0,Cash,Delivered,Tablet,2024-07-15,2024-07-23
500109,88,Customer_676,Store_C,Mumbai,Gujarat,Tablet,Electronics,2,1286,2572.0,Credit Card,Delivered,Tablet,2023-11-25,2023-12-02
500110,74,Customer_672,Store_C,Chennai,Maharashtra,Headphones,Accessories,5,1463,7315.0,upi,Returned,Desktop,2024-10-10,2024-10-11
500111,623,Customer_93,Store_E,Chennai ,Delhi,Smartwatch,Wearables,3,675,2025.0,COD,Delivered,mobile,2023-08-02,2023-08-11
500112,571,Customer_60,Store_D,Kolkata,West Bengal,Phone,Electronics,5,535,2675.0,Debit Card,delivered,Desktop,2023-09-28,2023-10-01
500113,510,Customer_682,Store_C,Kolkata,Gujarat,Speaker,Accessories,5,77,385.0,credit card,Delivered,Desktop,2023-06-14,2023-06-22
500114,97,Customer_523,Store_D,Kolkata,Maharashtra,Tablet,Electronics,6,166,996.0,Credit Card,Returned,mobile,2023-01-22,2023-01-28
500115,216,Customer_291,Store_D,Pune,Telangana,Headphones,Accessories,3,436,1308.0,upi,Cancelled,Tablet,2024-01-10,2024-01-19
500116,354,Customer_209,Store_D,Bangalore,Maharashtra,Tablet,Electronics,4,1703,6812.0,credit card,Cancelled,Desktop,2023-12-08,2023-12-13
500117,559,Customer_588,Store_A,Ahmedabad,Telangana,Mouse,Accessories,6,408,2448.0,Credit Card,Returned,mobile,2023-02-11,2023-02-20
500118,151,Customer_642,Store_E,Bangalore,West Bengal,Mouse,Accessories,6,296,1776.0,credit card,Returned,Mobile,2024-05-27,2024-06-06
500119,143,Customer_317,Store_E,Chennai,Maharashtra,Headphones,Accessories,1,1776,1776.0,Cash,Delivered,Tablet,2023-04-14,2023-04-15
500120,535,Customer_41,Store_A,Ahmedabad,Gujarat,Laptop,Electronics,4,2369,9476.0,Cash,Delivered,Mobile,2024-08-15,2024-08-16
500121,85,Customer_660,Store_D,Delhi,Telangana,Camera,Electronics,5,2474,12370.0,Cash,Delivered,Mobile,2023-06-09,2023-06-16
500122,583,Customer_249,Store_D,Mumbai,Maharashtra,Phone,Electronics,1,943,943.0,upi,Returned,Mobile,2023-05-05,2023-05-06
500123,54,Customer_33,Store_A,Hyderabad ,Karnataka,Monitor,Electronics,6,2333,13998.0,Cash,Cancelled,Tablet,2024-05-25,2024-05-30
500124,589,Customer_450,Store_D,Mumbai ,Karnataka,Mouse,Accessories,2,2042,4084.0,UPI,Returned,mobile,2024-09-15,
500125,287,Customer_63,Store_E,Pune,Telangana,Smartwatch,Wearables,4,1904,7616.0,upi,Returned,Tablet,2023-10-06,2023-10-16
500126,240,Customer_463,Store_C,Hyderabad,Tamil Nadu,Mouse,Accessories,4,1058,4232.0,Cash,Returned,Mobile,2024-01-21,2024-01-28
500127,512,Customer_356,Store_E,Bangalore,West Bengal,Monitor,Electronics,2,2392,4784.0,upi,delivered,Desktop,2023-05-31,2023-06-09
500128,601,Customer_10,Store_D,Kolkata,Maharashtra,Keyboard,Accessories,3,285,855.0,upi,Delivered,Desktop,2024-02-09,2024-02-13
500129,519,Customer_604,Store_B,Delhi,Karnataka,Camera,Electronics,5,2184,10920.0,Debit Card,Cancelled,Tablet,2023-09-23,2023-10-02
500130,506,Customer_384,Store_A,Pune,Karnataka,Mouse,Accessories,5,1520,7600.0,Debit Card,Cancelled,Mobile,2024-02-17,2024-02-20
500131,580,Customer_498,Store_E,Delhi,Tamil Nadu,Tablet,Electronics,3,2177,,Cash,Delivered,mobile,2024-09-13,
500132,186,Customer_388,Store_A,Hyderabad ,Maharashtra,Mouse,Accessories,5,586,2930.0,upi,delivered,mobile,2023-09-18,2023-09-24
500133,579,Customer_239,Store_A,Ahmedabad ,Maharashtra,Phone,Electronics,5,1677,8385.0,UPI,Returned,Desktop,2023-05-03,2023-05-05
500134,29,Customer_49,Store_C,Kolkata ,Maharashtra,Headphones,Accessories,1,1098,1098.0,UPI,Delivered,Desktop,2023-12-27,
500135,381,Customer_264,Store_D,Bangalore,Gujarat,Monitor,Electronics,5,2472,12360.0,Debit Card,delivered,Desktop,2024-03-27,2024-03-29
500136,161,Customer_226,Store_A,Pune,Maharashtra,Headphones,Accessories,6,101,606.0,upi,delivered,Mobile,2024-04-24,2024-04-28
500137,489,Customer_119,Store_C,Mumbai,Telangana,Camera,Electronics,1,357,357.0,Debit Card,delivered,Desktop,2024-04-08,2024-04-14
500138,585,Customer_304,Store_C,Mumbai,Karnataka,Smartwatch,Wearables,2,1141,,UPI,delivered,mobile,2024-03-04,2024-03-07
500139,294,Customer_123,Store_C,Delhi,Gujarat,Phone,Electronics,2,2153,4306.0,UPI,Returned,Desktop,2023-02-28,2023-03-04
500140,301,Customer_148,Store_A,Kolkata,Maharashtra,Phone,Electronics,4,1235,4940.0,COD,Returned,mobile,2024-03-01,2024-03-02
500141,224,Customer_284,Store_E,Mumbai ,Maharashtra,Laptop,Electronics,5,1223,6115.0,COD,Returned,Desktop,2023-07-10,2023-07-11
500142,180,Customer_211,Store_B,Delhi,Delhi,Keyboard,Accessories,5,374,1870.0,Credit Card,Delivered,mobile,2023-03-31,2023-04-08
500143,420,Customer_489,Store_B,Chennai,Maharashtra,Laptop,Electronics,5,1473,7365.0,Credit Card,Returned,Tablet,2023-12-10,2023-12-18
500144,74,Customer_124,Store_C,Delhi,Maharashtra,Mouse,Accessories,5,69,345.0,upi,delivered,Mobile,2023-12-31,2024-01-08
500145,138,Customer_22,Store_B,Bangalore,Maharashtra,Monitor,Electronics,1,2076,2076.0,Debit Card,Delivered,Tablet,2024-04-02,2024-04-11
500146,200,Customer_268,Store_A,Kolkata,West Bengal,Monitor,Electronics,5,173,865.0,Credit Card,Cancelled,Mobile,2023-01-20,
500147,287,Customer_113,Store_A,Bangalore,Maharashtra,Headphones,Accessories,1,1168,1168.0,COD,RETURNED,Desktop,2023-05-07,2023-05-17
500148,19,Customer_651,Store_D,Ahmedabad,Telangana,Keyboard,Accessories,2,2396,4792.0,Cash,Delivered,Tablet,2024-04-18,2024-04-21
500149,329,Customer_411,Store_E,Hyderabad,Maharashtra,Tablet,Electronics,4,1034,4136.0,credit card,Cancelled,Desktop,2023-12-10,2023-12-20
500150,444,Customer_206,Store_E,Hyderabad,Gujarat,Camera,Electronics,6,97,582.0,Cash,delivered,Mobile,2024-01-09,2024-01-12
500151,37,Customer_637,Store_A,Chennai ,Telangana,Laptop,Electronics,1,1138,1138.0,Cash,Returned,Mobile,2024-09-30,2024-10-09
500152,527,Customer_275,Store_A,Kolkata,Maharashtra,Monitor,Electronics,1,1300,1300.0,Cash,Delivered,Desktop,2023-12-22,2023-12-24
500153,295,Customer_466,Store_E,Delhi,Delhi,Monitor,Electronics,4,2414,9656.0,COD,Cancelled,mobile,2023-10-23,2023-10-25
500154,227,Customer_194,Store_E,Ahmedabad,Gujarat,Speaker,Accessories,3,2007,6021.0,Credit Card,Cancelled,Desktop,2024-04-25,2024-04-26
500155,222,Customer_303,Store_A,Hyderabad ,Karnataka,Keyboard,Accessories,3,2330,6990.0,COD,Cancelled,mobile,2023-11-30,2023-12-05
500156,694,Customer_159,Store_D,Pune,Maharashtra,Laptop,Electronics,5,1638,8190.0,credit card,Returned,Tablet,2024-03-26,2024-03-28
500157,106,Customer_5,Store_D,Bangalore,Maharashtra,Speaker,Accessories,1,1996,1996.0,Cash,Cancelled,Mobile,2023-10-03,2023-10-06
500158,539,Customer_569,Store_E,Ahmedabad,Telangana,Camera,Electronics,4,1925,7700.0,upi,delivered,mobile,2023-10-22,2023-10-27
500159,387,Customer_596,Store_B,Bangalore,Maharashtra,Smartwatch,Wearables,3,804,2412.0,UPI,RETURNED,Desktop,2024-07-03,2024-07-06
500160,510,Customer_308,Store_E,Chennai,Gujarat,Tablet,Electronics,2,1796,3592.0,COD,RETURNED,mobile,2023-01-11,
500161,11,Customer_693,Store_A,Delhi ,Maharashtra,Camera,Electronics,4,1515,6060.0,COD,delivered,Desktop,2023-02-11,2023-02-17
500162,602,Customer_352,Store_E,Bangalore ,Maharashtra,Keyboard,Accessories,4,2043,8172.0,UPI,Delivered,Tablet,2024-02-16,2024-02-26
500163,431,Customer_647,Store_B,Chennai,Delhi,Speaker,Accessories,2,502,1004.0,COD,Returned,mobile,2023-10-29,2023-11-07
500164,652,Customer_44,Store_D,Hyderabad,Tamil Nadu,Headphones,Accessories,1,2364,2364.0,credit card,RETURNED,Mobile,2024-09-09,2024-09-19
500165,180,Customer_510,Store_E,Chennai,Maharashtra,Monitor,Electronics,4,453,,COD,Returned,mobile,2024-08-23,
500166,103,Customer_78,Store_B,Kolkata,Gujarat,Mouse,Accessories,1,645,645.0,upi,Delivered,Mobile,2023-06-10,2023-06-19
500167,644,Customer_102,Store_E,Bangalore,West Bengal,Mouse,Accessories,3,639,,COD,delivered,Mobile,2023-09-01,2023-09-04
500168,636,Customer_245,Store_B,Delhi ,Maharashtra,Laptop,Electronics,2,1671,3342.0,UPI,Delivered,mobile,2024-08-19,2024-08-20
500169,400,Customer_692,Store_E,Delhi,Gujarat,Monitor,Electronics,4,1082,4328.0,credit card,delivered,Mobile,2024-05-22,2024-05-24
500170,298,Customer_406,Store_E,Pune ,Gujarat,Keyboard,Accessories,1,760,,UPI,delivered,Mobile,2023-06-24,2023-06-27
500171,353,Customer_243,Store_D,Hyderabad,Telangana,Phone,Electronics,4,1488,5952.0,UPI,Returned,Desktop,2024-07-21,2024-07-25
500172,479,Customer_246,Store_B,Pune,Gujarat,Headphones,Accessories,1,854,854.0,Cash,RETURNED,Desktop,2023-10-04,2023-10-07
500173,268,Customer_611,Store_D,Pune,Gujarat,Monitor,Electronics,4,2117,8468.0,COD,RETURNED,Desktop,2023-07-29,2023-08-06
500174,395,Customer_30,Store_E,Mumbai,Gujarat,Headphones,Accessories,1,2151,2151.0,credit card,Delivered,Desktop,2023-04-04,2023-04-09
500175,513,Customer_305,Store_B,Bangalore,Karnataka,Keyboard,Accessories,3,821,2463.0,Debit Card,Cancelled,Desktop,2023-04-22,
500176,644,Customer_136,Store_C,Mumbai ,Maharashtra,Camera,Electronics,3,1507,4521.0,Cash,Delivered,mobile,2024-02-18,2024-02-26
500177,278,Customer_624,Store_B,Hyderabad,Maharashtra,Keyboard,Accessories,4,1492,5968.0,Cash,Returned,Tablet,2024-10-05,
500178,234,Customer_584,Store_D,Chennai,Maharashtra,Headphones,Accessories,4,210,840.0,Credit Card,Delivered,Tablet,2024-07-19,2024-07-22
500179,216,Customer_354,Store_A,Ahmedabad,Gujarat,Laptop,Electronics,5,243,1215.0,credit card,RETURNED,Desktop,2023-09-08,2023-09-09
500180,349,Customer_516,Store_D,Hyderabad,Delhi,Monitor,Electronics,5,418,2090.0,Cash,RETURNED,Desktop,2023-12-24,2023-12-31
500181,653,Customer_242,Store_E,Chennai,Telangana,Smartwatch,Wearables,2,228,456.0,Debit Card,Cancelled,Tablet,2024-07-26,2024-08-04
500182,244,Customer_248,Store_A,Kolkata ,Maharashtra,Camera,Electronics,1,874,874.0,credit card,Cancelled,Desktop,2023-11-15,2023-11-23
500183,174,Customer_694,Store_B,Kolkata,Gujarat,Headphones,Accessories,5,2357,11785.0,upi,Returned,Mobile,2023-09-04,2023-09-06
